l,train_index,test_index,||W_in||,||b_in||,||W||,good_rows_W_in,linear_rows_W_in,extreme_rows_W_in,tau_f_rmse,tau_f_se,rmse,se,0_rows_W_in,0_cols_W,avg_bad_features,avg_abs_col_sum_W,tau_f_se_train
0.0,101433.0,1104.0,0.0008338822578815384,0.13142823946062937,0.8454593097204836,1.0,0.0,0.0,5.005,2.6754000000000002,0.6835373772904464,0.467223346153102,1.0,0.0625,0.0009765625,0.05008028514527618,4.2952
1.0,174265.0,1211.0,0.0008478362809662333,0.13694492851979367,1.0627083983467835,1.0,0.0,0.0,4.3316,4.1314,0.6881146429890875,0.4735017618959994,1.0,0.25,0.0003564453125,0.058039984624272734,5.296200000000001
2.0,161478.0,1227.0,0.0008995213887268727,0.12945993733188796,0.7449744825689133,1.0,0.0,0.0,6.788600000000001,4.5682,0.5897899024951588,0.3478521290852488,1.0,0.2578125,0.00023681640625,0.043281338152437954,3.9494000000000002
3.0,49162.0,4813.0,0.0008481306628349342,0.1341965694032685,0.9741185571350918,1.0,0.0,0.0,4.0404,3.8584,0.7553226098547278,0.5705122449577571,1.0,0.04296875,0.00074462890625,0.053660288392064714,4.6774000000000004
4.0,66472.0,568.0,0.0008100241167594625,0.14262240685653435,0.9935490667993605,1.0,0.0,0.0,5.7694,3.6582000000000003,0.9626871569006122,0.9267665620613837,1.0,0.046875,0.0022119140625,0.052855623699464616,5.3508000000000004
5.0,2163.0,973.0,0.0008399025320310899,0.13358941800075183,0.9175523649228692,1.0,0.0,0.0,6.4428,5.3508000000000004,0.7652850044386473,0.585661138018661,1.0,0.12890625,0.00064697265625,0.05212372013091837,4.6592
6.0,79876.0,3895.0,0.0008630374917753252,0.13302013465115262,0.8476623393207483,1.0,0.0,0.0,6.788600000000001,5.9878,0.6626481637516956,0.4391025889234939,1.0,0.01171875,0.00062255859375,0.05137414689305153,5.6966
7.0,55407.0,3624.0,0.0008450908430702417,0.13255470016990065,0.9032546661013979,1.0,0.0,0.0,5.187,3.5490000000000004,0.7993884525491541,0.6390218980689311,1.0,0.02734375,0.00044677734375,0.05078674854589328,3.2396000000000003
8.0,77029.0,2804.0,0.0008561522296681968,0.13368651067240458,1.1021338975013257,1.0,0.0,0.0,3.822,3.6036,0.8031023922015558,0.6449734523598615,1.0,0.01171875,0.00085693359375,0.0624472628220456,1.9656
9.0,99649.0,2131.0,0.0008821712526222866,0.13401994225369232,0.7531234195465408,1.0,0.0,0.0,4.4044,4.2042,0.7304552195481675,0.533564827765162,1.0,0.09765625,0.00137939453125,0.043104920443737926,5.4782
