l,train_index,test_index,||W_in||,||b_in||,||W||,good_rows_W_in,linear_rows_W_in,extreme_rows_W_in,tau_f_rmse,tau_f_se,rmse,se,0_rows_W_in,0_cols_W,avg_bad_features,avg_abs_col_sum_W,tau_f_se_train
0.0,168809.0,3668.0,0.00017886637232800612,0.014276556484071746,8.662667059663693,0.0,1.0,0.0,2.8938,2.4934000000000003,0.6796561438230225,0.46193247383638103,1.0,0.0234375,0.0,0.3097407383628017,2.275
1.0,136335.0,369.0,0.0001638632321006354,0.014560288052803856,11.22015218897705,0.0,1.0,0.0,1.9292,1.7472,0.980977263400604,0.9623163913089382,1.0,0.01953125,0.0,0.4257296215153966,2.8938
2.0,146520.0,2291.0,0.0001605402369881927,0.01481993769647825,12.553100105039537,0.0,1.0,0.0,3.8948,3.0940000000000003,0.9817733959437239,0.963879000982873,1.0,0.01953125,0.0,0.4511344431727091,1.6016000000000001
3.0,879.0,1636.0,0.00016632658162629997,0.014577951242309088,9.91888628020244,0.0,1.0,0.0,0.4368,0.3458,1.2838294881218517,1.648218154571212,1.0,0.00390625,0.0,0.39708319603009357,1.4378
4.0,71676.0,4926.0,0.00017038893309324484,0.014079716737594578,9.692797679983002,0.0,1.0,0.0,1.6016000000000001,1.4378,0.7554029707823849,0.5706336482668529,1.0,0.00390625,0.0,0.3594766826879887,0.8736
5.0,50923.0,1292.0,0.0001785996053959825,0.013970882567265959,8.191279892150716,0.0,1.0,0.0,3.5490000000000004,1.4924000000000002,0.8077966338534492,0.6525354016649638,1.0,0.0234375,0.0,0.31317499486842737,1.0556
6.0,1355.0,1923.0,0.00017095322795088945,0.014444735822213658,9.262806129155047,0.0,1.0,0.0,2.4752,2.275,0.8840842503698277,0.7816049617519806,1.0,0.04296875,0.0,0.3174706813019822,1.5652000000000001
7.0,169973.0,1959.0,0.00015607974839044707,0.014498718910771946,11.55480422282402,0.0,1.0,0.0,0.4186,0.3276,0.7253329376177063,0.5261078703931313,1.0,0.0078125,0.0,0.4192104412206845,1.911
8.0,79738.0,4813.0,0.00018415216676932064,0.014094023228775775,8.586495446191652,0.0,1.0,0.0,3.822,1.7654,0.900663420402161,0.8111945968505193,1.0,0.00390625,0.0,0.3242129168393654,4.095000000000001
9.0,107991.0,2070.0,0.00014724183763905756,0.015263531179815708,12.821257677384006,0.0,1.0,0.0,1.5652000000000001,1.3832,0.7948429928123316,0.6317753832228646,1.0,0.02734375,0.0,0.365139275898402,2.6936
10.0,147723.0,1748.0,0.0001694958193599496,0.014020831158964032,8.98243401609442,0.0,1.0,0.0,0.728,0.6188,0.8311833728363058,0.6908657992795371,1.0,0.05078125,0.0,0.32939603732758993,1.8746
11.0,170795.0,1749.0,0.00016230941866812607,0.01491304174473921,11.910039928188112,0.0,1.0,0.0,1.7654,0.9282,1.0751525306937322,1.1559529642571365,1.0,0.0078125,0.0,0.42944574034629035,1.1284
12.0,133587.0,2912.0,0.00017027040136766307,0.014400971715128079,7.847628254854002,0.0,1.0,0.0,4.1132,3.185,0.6364061089625221,0.4050127355248177,1.0,0.03515625,0.0,0.2797850848778678,2.9302
13.0,45997.0,1876.0,0.000177837721868767,0.014502703929579218,8.218457099663905,0.0,1.0,0.0,1.6198000000000001,0.91,0.9019479783401256,0.8135101556318393,1.0,0.04296875,0.0,0.3003246812795918,1.274
14.0,95415.0,4249.0,0.0001656289588420928,0.013991892898879999,11.687457363457794,0.0,1.0,0.0,1.0374,0.8736,0.8738583611231214,0.7636284353047869,1.0,0.015625,0.0,0.43080914270696535,0.8372
15.0,161525.0,2746.0,0.00017102915899558984,0.014116256223548142,9.729533367904601,0.0,1.0,0.0,1.8746,1.6380000000000001,0.9753219743868632,0.9512529537218888,1.0,0.0078125,0.0,0.38053576112849097,1.4924000000000002
16.0,58692.0,4614.0,0.0001419342943000963,0.014949406854136055,13.240013593740343,0.0,1.0,0.0,5.0232,4.6046000000000005,0.6947516598735801,0.48267986889709497,1.0,0.01953125,0.0,0.45280194061138257,1.365
17.0,60636.0,3447.0,0.00016094066905678015,0.014196217940595564,7.6907994543208895,0.0,1.0,0.0,1.911,1.729,0.5739548654030925,0.32942418751988223,1.0,0.0390625,0.0,0.2445717304286481,2.4934000000000003
18.0,134479.0,1260.0,0.00017459896735279055,0.013596765248045909,9.283118434538423,0.0,1.0,0.0,2.093,1.9292,0.7575777939904517,0.5739241139474391,1.0,0.01953125,0.0,0.33863460909346577,1.2558
19.0,86556.0,1667.0,0.00014881482429915976,0.014937139760459989,10.56519871372105,0.0,1.0,0.0,4.0586,3.1486,0.8653446470625926,0.7488213581998835,1.0,0.015625,0.0,0.32080484773691287,2.0566
20.0,46788.0,3427.0,0.0001835108635018847,0.014320882514930949,8.190472907697718,0.0,1.0,0.0,3.6582000000000003,3.4762,1.0916394027013345,1.1916765855301261,1.0,0.0234375,0.0,0.3153285209607807,2.5298000000000003
21.0,95110.0,1766.0,0.00017640103885819194,0.014660391116045248,10.142092781327134,0.0,1.0,0.0,4.095000000000001,3.0940000000000003,0.7333599205160942,0.5378167730193718,1.0,0.01953125,0.0,0.3917316867552173,2.2568
22.0,31.0,3513.0,0.00016366050115020157,0.014542516945179659,10.526928534035322,0.0,1.0,0.0,2.2204,2.0566,1.2607781537132792,1.5895615528806655,1.0,0.03125,0.0,0.38757037151484985,0.8372
23.0,78440.0,3801.0,0.00017245777830422393,0.01413355041830407,12.10321980082417,0.0,1.0,0.0,3.2760000000000002,2.821,0.8759685637116751,0.7673209246110946,1.0,0.03125,0.0,0.4679369696399378,2.2568
24.0,118340.0,940.0,0.00015833134704037837,0.014858540115245181,10.589845084755153,0.0,1.0,0.0,1.6380000000000001,1.4742000000000002,0.8179246082379068,0.6690006647611324,1.0,0.01171875,0.0,0.37382524846067944,0.7462000000000001
25.0,93084.0,302.0,0.00019151622043996365,0.014118333889226167,7.830478079756608,0.0,1.0,0.0,9.5004,6.1698,0.889160441437661,0.7906062906176166,1.0,0.01953125,0.0,0.29289885538454286,1.7654
