l,train_index,test_index,||W_in||,||b_in||,||W||,good_rows_W_in,linear_rows_W_in,extreme_rows_W_in,tau_f_rmse,tau_f_se,rmse,se,0_rows_W_in,0_cols_W,avg_bad_features,avg_abs_col_sum_W,tau_f_se_train
0.0,171060.0,2021.0,0.01456674656131861,0.3319708126614822,171.20971155631793,0.0,0.0,1.0,0.2184,0.1274,0.777089740190711,0.6038684643096667,0.94921875,0.0,0.99384765625,10.692671324680532,0.1456
1.0,31443.0,3363.0,0.005620601717876707,0.33485454718058644,183.64506556286472,0.0,0.0,1.0,0.2366,0.1456,0.7364284951280218,0.5423269284365236,0.95703125,0.0,0.99510986328125,10.903002893019732,0.38220000000000004
2.0,32698.0,4440.0,0.005387734136713194,0.3317750150075315,158.83137032383155,0.0,0.0,1.0,0.3458,0.2548,0.7259662355814686,0.5270269752043281,0.94140625,0.0,0.9958837890625,9.611537202558111,0.3094
3.0,15920.0,2292.0,inf,0.3416806754364124,146.7198822694687,0.0,0.0,1.0,0.40040000000000003,0.2912,0.7656211294342504,0.5861757138361775,0.95703125,0.0,0.99581298828125,8.358981815930235,0.2366
4.0,139158.0,293.0,0.003937077043018689,0.33537219949850494,170.78658135726738,0.0,0.0,1.0,0.4186,0.1456,0.8551823712646744,0.7313368881218716,0.9609375,0.0,0.99645751953125,10.670321089144739,0.38220000000000004
5.0,45570.0,2881.0,0.010547672491990326,0.3354743680322511,155.97916490130112,0.0,0.0,1.0,0.1638,0.091,8322.616652962804,69265947.95217383,0.9609375,0.0,0.995732421875,9.644559166594348,0.273
6.0,134394.0,681.0,0.006541565892716004,0.33737763019493716,157.39040407751867,0.0,0.0,1.0,0.3276,0.20020000000000002,8685.458650407572,75437191.9679398,0.96875,0.0,0.9966064453125,9.733657910381169,0.091
7.0,168672.0,4551.0,0.003793137171357966,0.33180742674855795,153.6271446309362,0.0,0.0,1.0,0.3094,0.2184,0.7423781801241268,0.55112536232441,0.9453125,0.0,0.99533203125,9.667473795102069,0.1274
8.0,170535.0,2410.0,0.010351228723294446,0.33346582663683355,155.18925096144775,0.0,0.0,1.0,0.2184,0.1638,0.8468260242982175,0.7171143154287255,0.94921875,0.0,0.996435546875,9.309847377379981,0.1274
9.0,34470.0,14.0,0.003765619224850971,0.3333812305996907,154.04224972462768,0.0,0.0,1.0,0.182,0.1092,0.6615607580928179,0.437662636648344,0.9609375,0.0,0.99601318359375,9.635868908295976,0.273
10.0,179149.0,4582.0,0.004144841975500727,0.3311954615880723,155.5761429205082,0.0,0.0,1.0,0.6552,0.4732,0.8212255586530871,0.6744114181850753,0.95703125,0.0,0.99490478515625,9.924483984869255,0.2184
11.0,168579.0,2119.0,0.00359542986257741,0.3382780435421337,170.6005495790035,0.0,0.0,1.0,0.7644000000000001,0.5824,0.7436693831838139,0.553044151484994,0.94921875,0.0,0.99504638671875,10.331893784609292,0.4368
12.0,153820.0,1714.0,0.006160560058862632,0.3283136422885752,152.8785175941928,0.0,0.0,1.0,0.1274,0.0728,0.5999912812326342,0.3599895375551773,0.96875,0.0,0.99591552734375,9.669575703359428,0.364
13.0,47271.0,3249.0,inf,0.32812479004966716,156.598983049499,0.0,0.0,1.0,0.3458,0.2366,8692.176878320783,75553938.88401443,0.95703125,0.0,0.996748046875,9.878559347327041,0.091
14.0,102693.0,4147.0,0.06391925598826059,0.33691702839519505,154.99627018850515,0.0,0.0,1.0,0.20020000000000002,0.1274,0.6251125004757125,0.3907656382509978,0.93359375,0.0,0.99264404296875,9.201208071437861,0.1456
15.0,31860.0,1566.0,inf,0.338823007300698,146.74443019471093,0.0,0.0,1.0,0.182,0.1092,0.7042048971835635,0.4959045372173132,0.9609375,0.0,0.9957958984375,8.336123970177994,0.3276
16.0,160233.0,1051.0,0.0052631215094831214,0.3418962250311308,174.91307680655132,0.0,0.0,1.0,0.1456,0.0728,0.7477226409533938,0.5590891477943184,0.9140625,0.0,0.99422119140625,10.26206015497813,0.091
17.0,20637.0,1906.0,0.004577930790592062,0.33583111696482987,152.4481048819472,0.0,0.0,1.0,0.4368,0.3276,0.7874497499545459,0.6200771087034771,0.9609375,0.0,0.9948095703125,9.449760230651236,0.1456
18.0,148419.0,4078.0,0.004567671032701263,0.32951513551873796,151.85782193828723,0.0,0.0,1.0,0.1092,0.0546,0.7237322839515964,0.5237884188337937,0.96875,0.0,0.9955419921875,9.564582484890508,0.2548
19.0,28687.0,4311.0,0.005279226231305298,0.3303351161563792,151.24711245334058,0.0,0.0,1.0,0.5824,0.4368,8080.563246056976,65295502.37352678,0.95703125,0.0,0.993974609375,9.331183093014488,0.2366
20.0,75768.0,744.0,0.012650674625583837,0.3375092119027844,181.1503271783327,0.0,0.0,1.0,0.1638,0.091,0.6780222892405489,0.4597142247069943,0.94921875,0.0,0.99544677734375,10.409147643682424,0.091
21.0,31140.0,2570.0,0.002910827668863878,0.3311743151935559,150.683629060343,0.0,0.0,1.0,0.1456,0.1274,10025.14241270529,100503480.39502239,0.96484375,0.0,0.99726318359375,8.949444902862268,0.40040000000000003
22.0,40151.0,2.0,0.005700320226669372,0.3327863967556267,148.35721306944134,0.0,0.0,1.0,0.2184,0.1092,0.8256518581382336,0.6817009908471183,0.9453125,0.0,0.9929296875,9.440226342560095,0.1274
23.0,130036.0,1240.0,0.003197298237486799,0.3287798500384013,141.26565944621223,0.0,0.0,1.0,0.2184,0.1456,0.728181989339389,0.5302490095982707,0.95703125,0.0,0.9954443359375,8.73727628189836,0.1092
24.0,151785.0,4492.0,0.0044344172636154346,0.33405975943712696,162.482802394928,0.0,0.0,1.0,0.2184,0.1274,0.8051861628391139,0.6483247568275757,0.96484375,0.0,0.9967724609375,9.889369773569214,0.1092
25.0,66488.0,4811.0,0.17294767163184888,0.33949290956474565,168.57897696585619,0.0,0.0,1.0,0.546,0.1456,0.8142993642302623,0.6630834545858093,0.9453125,0.0,0.99508544921875,10.574161883497254,0.1456
26.0,170884.0,2356.0,inf,0.3336146049514956,145.50914438458588,0.0,0.0,1.0,0.2366,0.1456,0.815287384832944,0.6646935198677417,0.96484375,0.0,0.9963427734375,8.752834453801029,0.0728
