l,train_index,test_index,||W_in||,||b_in||,||W||,good_rows_W_in,linear_rows_W_in,extreme_rows_W_in,tau_f_rmse,tau_f_se,rmse,se,0_rows_W_in,0_cols_W,avg_bad_features,avg_abs_col_sum_W,tau_f_se_train
0.0,110272.0,1254.0,0.00016216833376497816,0.0147734953733361,11.591963883450314,0.0,1.0,0.0,1.0374,0.8554,0.7765295802634402,0.6029981890241154,1.0,0.0078125,0.0,0.40770471710513334,1.1648
1.0,42295.0,3802.0,0.00016993865787870966,0.014208265320833455,10.274013887255355,0.0,1.0,0.0,8.1536,6.3154,0.7075397631055693,0.500612516375485,1.0,0.0234375,0.0,0.37117617046934415,4.0586
2.0,157716.0,1505.0,0.00017122494782648775,0.01491850442740267,8.814787935775637,0.0,1.0,0.0,5.587400000000001,1.5652000000000001,0.664244766845404,0.4412211102815052,1.0,0.02734375,0.0,0.3068899641601619,4.2042
3.0,111296.0,2030.0,0.0001650812590037925,0.013605097417222803,13.05180948967303,0.0,1.0,0.0,2.5844,2.3842000000000003,0.8388627210670881,0.7036906647960793,1.0,0.0234375,0.0,0.49858137786041035,2.093
4.0,29801.0,3877.0,0.0001733688051497015,0.014165471923236,10.771663096370704,0.0,1.0,0.0,3.2214,2.4752,0.7435581780673294,0.5528787641708068,1.0,0.015625,0.0,0.4197826918049681,2.0202
5.0,160266.0,3384.0,0.00016136511644703998,0.014380994419626331,11.096392825049982,0.0,1.0,0.0,3.0212000000000003,1.2376,0.6871147450030353,0.4721266728005865,1.0,0.0390625,0.0,0.37479717040791183,1.9292
6.0,144058.0,338.0,0.00013941294021773995,0.01437361420749841,9.36779450916402,0.0,1.0,0.0,0.7462000000000001,0.6188,0.9173467549974975,0.841525068904439,1.0,0.02734375,0.0,0.2931305212404467,0.9282
7.0,108507.0,2046.0,0.00018283702308548623,0.014015412484746453,10.165621493705439,0.0,1.0,0.0,3.367,1.9474,0.7235778598971471,0.5235649193333348,1.0,0.01171875,0.0,0.3944982827184629,3.6218000000000004
8.0,40972.0,1107.0,0.00017695173088071422,0.013726064370097919,8.484601183921567,0.0,1.0,0.0,5.7330000000000005,3.7674000000000003,0.6417178033512319,0.4118017391379302,1.0,0.02734375,0.0,0.3192164045954371,0.9464
9.0,178677.0,1212.0,0.00017891240175495915,0.014454165125525961,8.347202423876178,0.0,1.0,0.0,1.0192,0.8918,0.7693731992927306,0.591935119789932,1.0,0.02734375,0.0,0.31545910126514554,0.3094
10.0,36945.0,4901.0,0.00014600456359034012,0.014725598088641904,11.207559207964694,0.0,1.0,0.0,2.8028,2.0202,0.8970195721706906,0.8046441128572899,1.0,0.0,0.0,0.4106333481846036,0.364
11.0,98382.0,1455.0,0.00017198012123748765,0.014315409495883773,9.201522383946372,0.0,1.0,0.0,6.6248000000000005,4.4408,0.6880585209459926,0.47342452824638737,1.0,0.0625,0.0,0.32107605920786453,2.2568
12.0,721.0,946.0,0.00017806138445410102,0.014674819734260635,14.562691251035801,0.0,1.0,0.0,0.8736,0.7644000000000001,0.9780516795602314,0.9565850878905908,1.0,0.01171875,0.0,0.5766739121796846,2.0566
13.0,152647.0,1754.0,0.00018107121077376085,0.01463738761500347,8.64121573080934,0.0,1.0,0.0,1.8928,1.6198000000000001,0.6492836757610191,0.42156929160974016,1.0,0.03125,0.0,0.33850358037086625,1.6380000000000001
14.0,22389.0,4269.0,0.00016554278580500285,0.014193172282875444,8.220206110947096,0.0,1.0,0.0,4.1132,1.6016000000000001,0.7471589418400325,0.5582464843715166,1.0,0.015625,0.0,0.30324693126317115,0.364
15.0,88773.0,4924.0,0.0001586250643951889,0.014127309309968316,8.29509605699265,0.0,1.0,0.0,1.9656,1.6562000000000001,0.6668989916849293,0.44475426511037447,1.0,0.0546875,0.0,0.29080668186681335,3.3852
16.0,73518.0,2438.0,0.00016568274971110895,0.014655359187515128,9.951168042530307,0.0,1.0,0.0,1.8564,0.4368,0.6418253456727759,0.4119397743479783,1.0,0.02734375,0.0,0.3329958834614519,1.4196
17.0,144010.0,1965.0,0.0001683778775296369,0.014996809807159998,9.905969435457587,0.0,1.0,0.0,1.4924000000000002,1.2922,0.9349042094757185,0.874045880895419,1.0,0.03125,0.0,0.38216752046618785,1.8746
18.0,30766.0,739.0,0.00016215776944366347,0.015382211855347421,8.537962679319758,0.0,1.0,0.0,3.6218000000000004,3.4398,0.8888659836695643,0.7900827369248627,1.0,0.01171875,0.0,0.30588265455231056,0.4732
19.0,36379.0,2576.0,0.00016746541786964627,0.014599793539482639,9.644797375112844,0.0,1.0,0.0,4.2042,3.367,0.822398514258277,0.6763393162542208,1.0,0.01953125,0.0,0.3440933091576599,1.1102
20.0,62483.0,4540.0,0.00015968087682310147,0.013903355984365567,9.598765547444792,0.0,1.0,0.0,3.3852,1.82,0.6300315619273426,0.3969397690246067,1.0,0.03515625,0.0,0.3325113296651596,0.38220000000000004
21.0,120830.0,4018.0,0.00016526447733943023,0.014504993515400886,9.196718306195224,0.0,1.0,0.0,2.73,1.9656,0.8018900056200994,0.6430275811134029,1.0,0.01953125,0.0,0.3313561908486029,0.9646
22.0,171440.0,4110.0,0.00016264407288598702,0.015221247474589566,10.391517722215623,0.0,1.0,0.0,3.2760000000000002,2.4752,0.7936232998009546,0.6298379419869561,1.0,0.0625,0.0,0.33869716004068495,2.1294
23.0,144768.0,2229.0,0.0001464350129045141,0.01397451205856436,9.979364012059433,0.0,1.0,0.0,3.5672,2.7846,0.787141926915099,0.619592413107615,1.0,0.03125,0.0,0.3110212425340557,1.0010000000000001
24.0,113621.0,2292.0,0.00017173007891266545,0.01505018256539244,8.289384268620573,0.0,1.0,0.0,3.9858000000000002,2.4752,0.7184214837861188,0.5161294283654477,1.0,0.015625,0.0,0.2973964727972813,0.9646
25.0,52201.0,3108.0,0.0001674729669566607,0.0142263947956171,8.81861977638038,0.0,1.0,0.0,0.5824,0.455,0.788041234867497,0.6210089878514898,1.0,0.01953125,0.0,0.31439723502083483,0.8918
26.0,118641.0,3085.0,0.00016521013247675217,0.014077908438944886,10.137858732076886,0.0,1.0,0.0,1.9474,0.546,0.8586718273612963,0.7373173071039882,1.0,0.01953125,0.0,0.33206757748135596,1.9292
27.0,76825.0,3056.0,0.00016517843117026454,0.014750305290189876,8.927049555941725,0.0,1.0,0.0,3.4944,3.1304000000000003,0.8468215695829034,0.7171067707108518,1.0,0.0234375,0.0,0.31018486128298006,0.9464
28.0,7837.0,515.0,0.00012509206574915028,0.015308608480589625,10.703025269385298,0.0,1.0,0.0,0.6916,0.455,1.0792827250332109,1.164851200555113,1.0,0.01171875,0.0,0.3228219998149894,2.8028
29.0,36960.0,459.0,0.00016905395108577075,0.014848768378746708,10.942596032904321,0.0,1.0,0.0,1.0556,0.6188,0.9399897559148696,0.8835807412248959,1.0,0.03125,0.0,0.39061030713946465,2.1294
30.0,82363.0,2470.0,0.00016327631386707855,0.014315025838757616,9.62473393242262,0.0,1.0,0.0,2.6754000000000002,2.3114,0.8975330985494434,0.8055656629917656,1.0,0.0234375,0.0,0.3381670651838693,0.4186
31.0,30396.0,1231.0,0.00014676777351446552,0.014352337361956014,11.498836891461305,0.0,1.0,0.0,5.6966,2.4388,0.9743281437167256,0.9493153316384815,1.0,0.01953125,0.0,0.38006896024060444,1.5106000000000002
32.0,3759.0,1269.0,0.00016615586265688207,0.01396401813040166,10.210898267904238,0.0,1.0,0.0,1.2012,0.9464,0.9349794400728456,0.8741865533589315,1.0,0.0078125,0.0,0.360686619668952,4.7866
33.0,146698.0,4319.0,0.00016398341251931093,0.01456306401150021,11.561456531409195,0.0,1.0,0.0,3.5126000000000004,0.8008000000000001,0.7873657285388739,0.6199447904775522,1.0,0.03125,0.0,0.4440567008580638,2.4570000000000003
34.0,37777.0,283.0,0.0001751836727956763,0.01515195058128162,9.100735481611695,0.0,1.0,0.0,2.5662000000000003,1.9656,0.6305500493959826,0.39759336479327545,1.0,0.01171875,0.0,0.34314226274694803,1.6926
35.0,84162.0,691.0,0.00018616621851707076,0.01377759749480905,7.357642124861273,0.0,1.0,0.0,2.2022,1.456,1.0205079970109459,1.041436571963292,1.0,0.0234375,0.0,0.26332071802836476,1.9474
36.0,110393.0,3310.0,0.00017288696648591425,0.014420526509317712,9.848192668342373,0.0,1.0,0.0,2.4024,0.4368,0.8605009537303717,0.7404618913708784,1.0,0.0234375,0.0,0.3486165484080148,1.6744
37.0,85022.0,1289.0,0.00016233018578498744,0.014874788594348582,11.203612055926417,0.0,1.0,0.0,2.1476,1.8018,0.9232961059291872,0.8524756992240001,1.0,0.03125,0.0,0.39376177095022413,0.7462000000000001
38.0,38927.0,4288.0,0.00017572588028681518,0.014421797936866798,7.736705580576874,0.0,1.0,0.0,0.546,0.273,0.8794731325200292,0.7734729908245924,1.0,0.0390625,0.0,0.27101875357422855,4.4226
39.0,101790.0,2425.0,0.00016496520310478962,0.013964790399634185,8.148685304157286,0.0,1.0,0.0,3.3852,1.9474,0.7849400227909443,0.616130839379048,1.0,0.015625,0.0,0.3116285289064762,2.548
40.0,34271.0,1884.0,0.00016721115826247597,0.014306942188714943,10.196825083471614,0.0,1.0,0.0,3.4398,2.6572,0.736029448784231,0.5417393494776186,1.0,0.02734375,0.0,0.36298564149183865,1.8018
41.0,44848.0,45.0,0.00015748484994601027,0.01402541814315388,13.585173926868741,0.0,1.0,0.0,0.7098,0.5824,0.9700058748342766,0.9409113972130098,1.0,0.01953125,0.0,0.49131891330533883,1.4196
42.0,119862.0,4580.0,0.00017395631290024455,0.014181117352142322,9.220904209457359,0.0,1.0,0.0,4.9322,3.458,0.7765755190999238,0.6030695368653172,1.0,0.01953125,0.0,0.3200872786773159,3.3488
